,Timestamp,Gender,Height,Weight,CGPA,PL,Sim_Course,Focus,DS_DA,bday,age,PL_rating,BMI
55,8/7/2017 11:00:54,Female,154.0,52.0,6.0,C,No,Data,May be,Oct,18,2,21.926125822229718
56,8/7/2017 11:04:35,Male,175.0,65.0,9.375,C++,No,Science,No,Feb,19,3,21.224489795918366
57,8/7/2017 11:05:27,Male,166.0,62.0,8.5,Python,Yes,Data,No,Jan,19,2,22.49963710262738
58,8/7/2017 11:05:44,Female,150.0,55.0,5.6,Python,No,Science,May be,Aug,19,2,24.444444444444443
59,8/7/2017 11:08:14,Male,170.0,51.0,7.83,C,No,Science,May be,Aug,19,4,17.647058823529413
60,8/7/2017 11:53:48,Female,158.0,75.0,4.32,C,No,Data,May be,June,20,2,30.043262297708697
61,8/7/2017 11:54:50,Male,157.0,92.0,7.02,Python,No,Data,May be,Nov,19,3,37.32402937238833
62,8/7/2017 11:54:59,Female,150.0,46.0,8.15,C++,No,Data,Yes,June,19,3,20.444444444444443
63,8/7/2017 11:55:02,Male,180.0,52.0,8.2,Java,No,Science,No,April,19,5,16.049382716049383
64,8/7/2017 11:55:35,Female,158.0,52.0,6.49,C++,Yes,Science,May be,Aug,18,3,20.82999519307803
65,8/7/2017 11:55:46,Female,156.0,52.0,6.97,C++,Yes,Data,May be,April,19,2,21.367521367521366
66,8/7/2017 11:55:48,Male,178.0,65.0,7.2,C++,No,Science,No,June,19,3,20.515086478979924
67,8/7/2017 11:56:11,Female,155.0,40.0,9.4,C,Yes,Science,May be,Oct,18,3,16.649323621227886
68,8/7/2017 11:56:14,Female,167.64,58.0,7.15,C,No,Science,No,Oct,18,2,20.63824146013765
69,8/7/2017 11:56:14,Male,175.0,76.0,7.25,Python,No,Science,May be,Sep,18,1,24.816326530612244
70,8/7/2017 11:56:19,Male,182.0,85.0,9.17,C,No,Data,May be,Sep,19,3,25.661152034778407
71,8/7/2017 11:56:28,Female,162.0,56.0,8.35,Python,No,Science,May be,May,19,3,21.338210638622158
72,8/7/2017 11:56:29,Male,175.0,66.0,8.7,C,No,Data,May be,July,19,3,21.551020408163264
73,8/7/2017 11:56:41,Male,194.0,78.0,8.0,C++,No,Science,No,July,19,3,20.724837921139336
74,8/7/2017 11:56:46,Male,165.0,78.0,3.8,C++,No,Data,May be,April,19,3,28.650137741046834
75,8/7/2017 11:56:56,Female,157.0,64.0,5.58,C,No,Data,May be,Oct,18,2,25.96454217209623
76,8/7/2017 11:56:58,Male,178.0,77.0,7.13,Java,No,Data,May be,March,19,2,24.302487059714682
77,8/7/2017 11:56:58,Male,175.0,60.0,8.4,C,No,Data,Yes,March,19,3,19.591836734693878
78,8/7/2017 11:56:59,Male,175.0,67.0,7.2,Python,No,Data,No,Feb,18,3,21.877551020408163
79,8/7/2017 11:57:02,Male,176.0,97.0,8.77,C,No,Data,May be,April,19,4,31.31456611570248
80,8/7/2017 11:57:02,Female,172.0,58.0,6.8,C,No,Data,May be,Jan,19,3,19.60519199567334
81,8/7/2017 11:57:07,Male,170.0,60.0,7.0,C,Yes,Science,No,Nov,18,3,20.761245674740486
82,8/7/2017 11:57:07,Male,175.0,57.0,7.0,C,No,Data,May be,Aug,18,3,18.612244897959183
83,8/7/2017 11:57:11,Male,165.0,78.0,3.8,C++,No,Data,May be,April,19,3,28.650137741046834
84,8/7/2017 11:57:12,Male,181.0,61.0,8.52,C,No,Data,May be,Dec,18,3,18.619700253350018
85,8/7/2017 11:57:20,Male,170.0,50.0,9.17,C,No,Data,May be,Dec,20,4,17.301038062283737
86,8/7/2017 11:57:30,Female,179.0,74.0,7.63,C,No,Data,No,Feb,18,3,23.095409007209515
87,8/7/2017 11:57:32,Male,160.0,64.0,8.2,Java,No,Data,No,April,19,3,24.999999999999996
88,8/7/2017 11:57:38,Male,160.0,50.0,6.2,C,No,Data,May be,June,19,1,19.531249999999996
89,8/7/2017 11:57:41,Male,185.0,70.0,6.2,C,No,Data,May be,Nov,19,3,20.45288531775018
90,8/7/2017 11:57:47,Male,166.0,61.0,8.0,Python,No,Science,May be,Jan,19,3,22.136739730004358
91,8/7/2017 11:57:56,Male,179.0,54.0,8.5,C,No,Data,No,Sep,18,4,16.853406572828565
92,8/7/2017 11:57:57,Male,183.0,68.0,8.5,Python,No,Data,May be,May,19,4,20.305174833527424
93,8/7/2017 11:57:58,Male,179.0,55.0,7.6,C,No,Science,No,Sep,19,3,17.165506694547613
94,8/7/2017 11:58:01,Male,183.0,72.0,5.2,C,No,Data,No,Aug,19,2,21.49959688255845
95,8/7/2017 11:58:02,Female,157.0,48.0,7.54,C++,No,Data,May be,Nov,18,3,19.473406629072173
96,8/7/2017 11:58:05,Male,182.0,67.0,6.17,Python,No,Science,May be,Sep,18,3,20.227025721531216
97,8/7/2017 11:58:09,Male,170.0,60.0,7.7,C,No,Data,Yes,Aug,19,3,20.761245674740486
98,8/7/2017 11:58:24,Male,162.0,43.0,9.6,C,No,Data,May be,March,19,3,16.384697454656298
99,8/7/2017 11:58:27,Male,168.0,75.0,7.54,C,Yes,Data,May be,Nov,18,3,26.573129251700685
100,8/7/2017 11:58:31,Female,154.0,57.0,7.01,Python,No,Science,May be,Nov,18,3,24.034407151290267
101,8/7/2017 11:58:42,Male,180.0,74.0,8.96,C,Yes,Data,May be,July,19,4,22.839506172839506
102,8/7/2017 11:58:52,Male,168.0,65.0,9.42,Python,No,Data,May be,May,19,3,23.030045351473927
103,8/7/2017 11:58:54,Female,160.0,45.0,9.3,C,No,Data,No,Feb,18,3,17.578124999999996
104,8/7/2017 11:59:11,Male,165.0,65.0,9.17,Python,No,Data,Yes,April,19,3,23.875114784205696
